estab_id,cnpj,nome,categoria,latitude,longitude,qtd_concorrentes_1km,faturamento_medio_categoria,volume_faturamento_vr,faturamento_previsto_modelo
ESTAB_001,95822412000124,Sabor do Ponto 3,Pizzaria,-23.569703677855536,-46.648805863575085,0,46147.81615384615,49672.4,48607.39160000001
ESTAB_002,83197857000121,Grão Gourmet 4,Self-Service,-23.57550608341685,-46.66434086075589,0,30931.588888888888,26330.69,27183.01899999997
ESTAB_003,77827638000187,Sabor do Ponto 5,Pizzaria,-23.554919411612328,-46.64986025079229,4,46147.81615384615,43968.27,45864.27499999997
ESTAB_004,66306997000138,Artisan Burger 5,Hamburgueria,-23.552117086299663,-46.67070503720966,1,40208.402727272725,37320.16,38482.14270000004
ESTAB_005,31429110000199,Fornaria Paulista 3,Hamburgueria,-23.571735615005647,-46.6421836078338,2,40208.402727272725,34042.55,37258.716299999964
ESTAB_006,55176955000123,Bella Pizza 4,Self-Service,-23.56563061858546,-46.660581328325634,2,30931.588888888888,32440.07,31432.88659999999
ESTAB_007,45503389000115,Artisan Burger 5,Self-Service,-23.54720652708062,-46.65954396868375,2,30931.588888888888,31234.02,31457.29870000001
ESTAB_008,84093639000147,Grão Gourmet 3,Cafeteria,-23.57063134229229,-46.66881334553529,2,15316.479,13928.8,14015.376900000021
ESTAB_009,98753260000139,Café Vintage 1,Pizzaria,-23.550405489997345,-46.65949621324883,1,46147.81615384615,48256.62,46902.94300000006
ESTAB_010,70855700000191,Tempero da Villa 2,Hamburgueria,-23.565741878993173,-46.65079474476868,3,40208.402727272725,40620.17,41171.02959999997
ESTAB_011,96977837000119,Grão Gourmet 2,Cafeteria,-23.554526196061488,-46.66599792518714,1,15316.479,14674.59,15095.9795
ESTAB_012,60929647000144,Sakura Premium 2,Hamburgueria,-23.551114442394304,-46.64762000265362,1,40208.402727272725,34116.04,38473.72160000005
ESTAB_013,40742311000114,Tempero da Villa 4,Hamburgueria,-23.574414341843653,-46.64350591627444,2,40208.402727272725,34902.93,36167.97100000002
ESTAB_014,86125617000150,Sushi Zen 4,Japonês,-23.5498595053834,-46.65161444389399,4,65669.97285714286,72470.57,66102.3144999999
ESTAB_015,29175900000143,Burger Master 2,Cafeteria,-23.56023068130998,-46.64848958565044,3,15316.479,16817.68,16308.14659999999
ESTAB_016,67503414000184,Fornaria Paulista 3,Pizzaria,-23.546480226660325,-46.66675004765328,1,46147.81615384615,45615.47,46141.715100000045
ESTAB_017,76238574000121,Sabor do Ponto 1,Pizzaria,-23.557576618748907,-46.64713761906911,5,46147.81615384615,49517.03,49178.22829999999
ESTAB_018,66661351000186,Bella Pizza 4,Japonês,-23.55852334714917,-46.65685850336647,0,65669.97285714286,66608.94,66998.86099999992
ESTAB_019,43744231000180,Sabor do Ponto 1,Cafeteria,-23.55387366601225,-46.64784203802028,2,15316.479,13416.42,14211.216599999996
ESTAB_020,55657579000124,Café Vintage 4,Pizzaria,-23.56278828881012,-46.64228552217437,2,46147.81615384615,39970.51,49165.18489999999
